被告,6699
原告,6699
赔偿,6522
购买,6350
事实,6343
查明,6034
产品,6026
证据,5952
请求,5920
审理,5774
承担,5605
诉讼,5514
辩称,5353
销售,5278
要求,5239
生产,5186
质量,5042
上述,5037
没有,4956
本案,4899
陈述,4812
证明,4754
法院,4731
进行,4702
规定,4641
存在,4540
公司,4449
认定,4380
有限公司,4338
损失,4312
责任,4196
提供,4149
本院,4142
质证,4134
相关,4096
法律,4067
问题,4063
认为,4052
造成,3875
当事人,3866
使用,3806
依据,3770
予以,3743
符合,3740
合格,3726
驳回,3706
根据,3657
标准,3588
出具,3563
起诉,3467
涉案,3404
双方,3398
费用,3391
检验,3358
庭审,3351
情况,3257
报告,3239
作为,3203
依法,3202
发现,3188
提交,3125
发票,3051
诉称,3036
其他,3035
合法,3034
鉴定,3021
消费者,2990
主张,2926
国家,2923
内容,2922
说明,2915
包装,2902
异议,2895
支付,2894
共计,2885
确认,2881
以及,2846
应当,2845
货款,2837
经营,2807
意见,2790
行为,2781
权益,2747
退还,2704
过程,2698
属于,2689
关系,2680
价格,2675
发生,2617
真实性,2564
委托,2551
导致,2550
告诉,2538
标注,2529
监督,2485
商品,2474
任何,2472
购物,2459
可以,2438
申请,2424
因此,2416
关于,2411
以上,2405
违反,2403
是否,2379
照片,2359
无法,2357
如下,2348
安全,2346
已经,2345
诉讼费,2336
损害,2330
中心,2326
不予,2300
作出,2294
一致,2292
按照,2290
认可,2267
管理,2259
机构,2214
义务,2205
具有,2197
答辩,2189
合同,2186
技术,2182
经济,2178
提出,2172
证实,2140
审查,2135
原因,2128
明确,2109
出现,2103
其中,2090
当庭,2065
人员,2062
通过,2055
全部,2054
中华人民共和国,2037
部门,2034
同时,2032
标签,2019
经过,2010
足以,2001
时间,1990
现场,1978
以下,1972
食品,1970
严重,1923
实际,1914
欺诈,1909
自己,1905
由于,1893
结论,1893
部分,1884
同意,1878
真实,1861
标识,1840
企业,1818
第一,1798
关联性,1793
认证,1787
有关,1782
协商,1776
举证,1775
不能,1771
厂家,1744
司法,1729
直接,1724
材料,1717
第二,1713
名称,1713
营业执照,1712
支持,1708
范围,1689
结果,1678
处理,1677
日期,1675
调查,1667
宣传,1666
检测,1662
笔录,1658
因为,1640
出售,1624
许可证,1608
无关,1598
复印件,1591
需要,1583
期间,1572
合计,1572
单价,1571
用于,1566
有效,1556
案件,1554
综上,1532
缺陷,1530
之间,1530
构成,1524
并非,1522
行政,1522
纠纷,1518
销售者,1517
产生,1513
主要,1508
包括,1504
多次,1493
适用,1486
相应,1483
共同,1482
协议,1475
理由,1473
约定,1463
工商,1461
提起,1458
对于,1446
资质,1427
信息,1425
单位,1420
当时,1416
确定,1414
显示,1410
民事,1407
签订,1406
所有,1405
可能,1401
收据,1397
组织,1394
保护法,1386
价款,1383
资格,1380
主体,1374
含量,1370
国家标准,1364
人民法院,1362
计算,1362
一个,1355
虚假,1354
赔偿金,1346
为此,1343
第三,1341
工作,1331
意见书,1328
成分,1327
判决,1323
鉴定费,1323
小票,1317
实物,1316
资料,1313
登记,1310
反映,1304
生产者,1294
维护,1292
执行,1289
方式,1275
告知,1275
服务,1273
分别,1272
外包装,1270
表示,1265
违法,1263
中国,1261
买卖,1259
事故,1257
负责,1253
采信,1249
法定,1248
或者,1243
正常,1239
合法性,1236
误工费,1234
交通费,1217
客观,1209
证人,1200
安全法,1193
合理,1193
法规,1193
调解,1192
通知,1190
金额,1184
管理局,1183
明显,1174
财产,1165
联系,1165
达成,1163
误导,1157
履行,1154
因果,1152
方法,1138
票据,1137
记录,1130
不符,1122
具体,1105
应该,1098
影响,1098
书面,1096
现象,1095
投诉,1093
标示,1093
如果,1083
故意,1074
具备,1073
争议,1070
证言,1065
质量法,1063
文件,1061
经销商,1060
检查,1058
自行,1050
只是,1047
行业,1047
市场,1033
花费,1023
目的,1015
过错,1013
为由,1013
之后,1011
期限,1008
受到,1006
经营者,1001
证书,999
连带,998
人民,996
人身,995
另外,981
数额,978
属实,977
状况,976
精神,974
清单,973
各项,972
分析,971
法庭,971
未果,969
所以,964
条件,963
达到,962
侵权,960
样品,955
针对,953
并且,949
但是,946
成立,945
左右,939
标明,935
价值,935
合格证,932
不同,928
保质期,927
数量,925
人民币,924
治疗,920
为了,920
项目,919
完全,917
编号,915
说明书,913
载明,910
必须,908
出庭,907
收到,904
事项,898
权利,894
清楚,893
基本,891
只能,891
结合,886
下列,882
超过,880
适格,880
程序,876
凭证,872
向本院,872
含有,871
进货,871
取得,869
评估,868
注册,861
医院,859
